selector0: 5 terms, witness 2, original budget 2
local_companion0_0: 4 terms, witness 3, original budget 3
local_companion0_1: 5 terms, witness 3, original budget 3
local_field4: 2 terms, witness 2, original budget 2
local_field5: 1 terms, witness 2, original budget 2
selector1: 5 terms, witness 2, original budget 2
local_companion1_0: 4 terms, witness 3, original budget 3
local_companion1_1: 5 terms, witness 3, original budget 3
local_field6: 2 terms, witness 2, original budget 2
local_field7: 1 terms, witness 2, original budget 2
selector2: 6 terms, witness 3, original budget 3
local_companion2_0: 7 terms, witness 5, original budget 5
local_companion2_1: 9 terms, witness 4, original budget 4
local_field8: 3 terms, witness 2, original budget 2
local_field9: 0 terms, witness 0, original budget 2
selector3: 6 terms, witness 3, original budget 3
local_companion3_0: 7 terms, witness 5, original budget 5
local_companion3_1: 9 terms, witness 4, original budget 4
local_field10: 3 terms, witness 2, original budget 2
local_field11: 0 terms, witness 0, original budget 2
bit_field0: 2 terms, witness 2, original budget 2
bit_field1: 2 terms, witness 2, original budget 2
bit_field2: 2 terms, witness 2, original budget 2
bit_field3: 2 terms, witness 2, original budget 2
old_equality: 14 terms, witness 2, original budget 2
remaining_companion0: 20 terms, witness 7, original budget 7
remaining_field0: 1 terms, witness 2, original budget 2
remaining_companion1: 20 terms, witness 7, original budget 7
remaining_field1: 1 terms, witness 2, original budget 2
raw_old_cofactor: 20 terms, witness 9, original budget 9
Passed 30 complete certificates for four local blocks, one retained parent, and two controls.
