local:zero-cofactor-pruning	Remove a block with zero collected companion cofactors
lem:mp-telescoping	Explicit telescoping coefficients for an ENS product
lem:mp-identities	Exact MP identities for disjunction and other conclusions
lem:mp-booleanity	Bounded-degree certificates for approximation Booleanity
lem:mp-composition	Cofactor rule, NS recurrence, and augmented-PC reuse bound
prop:mp-substitution-interface	Compose supplied transformed leaves and local corrections
ex:mp-zero-specialization	Blanket zero specialization need not give base corrections
lem:old-consequence-transfer	One-block additive elimination preserves arbitrary old-only PC consequences with the target-degree charge
lem:weighted-replay	Replay a full premise using supplied input–weight products
thm:mp-boundary	Eliminate one implication block through both full premise proofs
ex:missing-annihilator	The implication proof alone does not supply its weighted inputs
ex:later-block-dependency	A later companion depending on the removed block changes under replay
ex:prime-dependent-loss	A field-domain consequence can require degree p after block removal
thm:target-annihilator-batch	Batch input spans modulo supplied products with an old target
lem:matching-annihilators	Explicit degree-bounded annihilators of a PHP matching monomial
thm:matching-affine-annihilators	Exact low-degree affine annihilator space for a matching weight
lem:spread-quotient-residual	A small quotient cannot make large disjoint spaces nested
prop:matching-normalization	A global matching restriction normalizes all blocks without degree increase
thm:one-cell-spread	A full spread embedding is removable after one pigeon–hole restriction
lem:normalization-affine-cut	The affine set hit by a normalizing input space has dimension q(2n-q)-1
thm:spread-matching-avoidance	Some spread embeddings avoid constant normalization under every small matching
ex:certified-resistant-spread	Seven rank-24 spaces with 392 exact single-cell nonnormalization certificates
thm:polynomial-normalization	Supplied polynomial normalizers transfer a whole layer through max(TD,c)
cor:normalization-ns	Explicit original-axiom normalizers give NS transfer under the cofactor condition
thm:collision-pair-elimination	All collision-pair blocks admit degree-preserving PC and NS removal
prop:collision-pair-matching-obstruction	Every proper partial matching leaves an unnormalized pair block
cor:normalization-extra-inputs	Extra old inputs preserve collision-pair elimination, including all companions
ex:spread-affine-normalizer-obstruction	Seven exact duals exclude affine normalizers with degree-two base certificates
prop:direct-companion-substitution	Cheap companion products suffice for degree-preserving affine substitution
lem:companion-linear-feasibility	Common-annihilator criterion and tuple-of-functionals obstruction
ex:php7-degree-three-pc-space	Certified C3 = I3 and no new degree-two consequences on the binary seven-hole base
ex:spread-three-input-annihilators	First three inputs have zero quadratic common annihilator in each saved spread space
ex:spread-companion-substitution-obstruction	Seven dual tuples exclude affine single-factor companion substitutions through degree three
lem:modular-row-implies-clause	A MOD-one row gives the ordinary nonempty-row clause in polynomial size and constant depth
thm:ordinary-php-ens-transfer	Ordinary-PHP proofs yield low-degree ENS refutations over the exact weak base
lem:php-clause-certificates	Exact NS identities for the actual row and collision clause approximations
prop:php-clause-block-pruning	Remove standard clause blocks without degree increase while specializing later inputs
lem:covered-disjunction-normalizer	An explicit unit witness handles complementary disjunctions after flattening
lem:approximation-booleanity-degree	Source approximation Booleanity has an NS certificate through twice its degree
lem:distribution-normalizer	Implication distribution has a normalization error certified by argument companions or Booleanity
thm:hierarchical-ns-normalization	Compatible earlier-axiom image certificates give global NS degree BD
thm:source-template-normalization	Clause/CD/distribution removal costs at most LD under the source-coordinate hypotheses
cor:constant-field-selector-pruning	Scalar selectors remove every selected rank-r block with h at least (p-1)r
thm:earlier-boolean-packing	Earlier Booleanity certificates allow one factor per input with no degree loss
prop:mod-schema-block-pruning	Six explicitly expanded MOD-recursion schema blocks can be removed by constant assignments
lem:pruned-mod-axiom-certificate	The original packed MOD axiom has NS degree 6p-2; the later forward assignment improves it to 4p-2
lem:mod-interpolation	The MOD shift differs from Boolean interpolation by a multiple of a squared minus a
cor:combined-schema-preprocessing	Boolean packing combines with the earlier template substitutions at the same LD bound
lem:theorem-approximation-simulation	The balanced source induction derives a theorem approximation without assumption leaves
lem:ns-target-image-transfer	Original-degree image certificates transfer an NS derivation to its substituted target
prop:php-final-boundary-pruning	One affine substitution removes the final PHP and ordinary clause blocks without degree loss
thm:direct-ordinary-php-transfer	Direct simulation avoids the MOD-row prelude and preserves the polylogarithmic ENS degree bound
lem:relative-implication-image	Retaining a core gives explicit implication companion images with quantified local degree overhead
thm:affine-retained-core-cover	Share retained core factors and test residual inputs without increasing proof degree
cor:php-clause-containing-pruning	Any tuple containing a full row or collision clause tuple has a degree-preserving base witness
cor:core-cover-source-preprocessing	Compatible core sharing and clause-containing rules combine at the same LD bound
thm:optimal-linear-core-factor-packing	Factor bins give the minimum coefficient degree for a prescribed independent linear-input product
ex:raw-core-chain-height-obstruction	Constant-height tautology proofs can contain arbitrarily long raw core-inclusion chains
lem:block-copy-agreement	Exact block agreement with matched input certificates has separate NS and PC degree bounds
lem:formula-copy-agreement	Internally coherent line copies have a uniform polynomial-degree agreement certificate
prop:line-scoped-simulation	Copy-aware MP supports independent line scopes at the original polylogarithmic simulation scale
thm:matched-core-ns-cover	Earlier input differences allow affine core cover under an explicit NS image budget
lem:proof-line-core-chains	Implication edges between proof-line occurrences form chains bounded by proof-tree height
thm:matched-core-pc-cover	A common PC ceiling handles matched cores by final-line reuse without the NS matching surcharge
lem:weighted-refutation-replay	Supplied weighted assumptions turn a PC refutation into a proof of its polynomial weight
thm:signed-proof-boundary-elimination	Independent line scopes and PC replay remove all signed disjunction boundaries of a Frege proof
cor:shared-proper-boundary-simulation	Share canonical proper evaluations and keep only boundaries private, eliminating the input-agreement cost
cor:php-nonboundary-pc-transfer	Ordinary PHP gives a polylogarithmic-degree PC refutation using only nonboundary ENS blocks
obs:boolean-domain-degree-padding	A fresh Boolean-domain multiple fixes ordinary degree without changing domain values
ex:copy-ns-pc-separation	A satisfiable nine-variable copy fixture has minimum PC degree four and NS degree six
cor:copy-degree-four-design-control	Adding the negated target gives a PC-degree-four refutation alongside an ordinary degree-four design
ex:signed-boundary-mod-traces	Positive and negative tautological antecedents give explicit MOD-value PC traces and proper-block supports
thm:earlier-input-pc-pruning	Strictly earlier PC proofs of all selected inputs permit simultaneous zero substitution at one common ceiling
cor:negative-leaf-proper-pruning	Negative axiom-boundary proper copies admit zero removal with supplied strict-level input certificates
lem:positive-leaf-witness-extraction	A positive leaf NS certificate supplies older polynomial assignments and bounded image certificates
thm:triangular-polynomial-pc-pruning	Earlier local image proofs give degree max(T^d D,T^(d-1) C) for simultaneous polynomial pruning
cor:all-axiom-boundary-proper-pruning	Both signs of recognized axiom-root proper copies can be removed at polylogarithmic degree for fixed depth
ex:triangular-witness-degree-growth	Prescribed local degree-three witnesses compose to degree seven in a two-level fixture
note:nested-projection-syntax	The upper two-input fixture uses a doubly negated argument; a bare OR conclusion must be flattened
lem:flattened-projection-booleanity	Correct projection-root prefixes and inner packing leave only argument Booleanity requests
lem:specialized-source-booleanity	Boolean-constant product substitutions preserve sharp NS certificates for source Booleanity targets
thm:booleanity-port-pruning	Isolated Booleanity uses allow degree-preserving PC or NS removal under the stated constant substitution
obs:positive-antecedent-needs-companions	Input refutability plus product Booleanity does not imply the proper antecedent value
thm:ns-normalizer-degree-obstruction	All-companion polynomial normalization over a Boolean-domain base forces h(T+delta) at least the input NS degree
cor:pebbling-normalizer-obstruction	Constant-degree PC input refutations can still require polynomial coefficient degree at logarithmic accuracy
ex:path-ns-pc-normalizer-tradeoff	The four-vertex path has PC degree two, NS degree three, and sharp affine/constant normalizer endpoints
obs:proper-or-subgroups-share-level	Source OR flattening allows proper disjunction subgroups at the parent's ENS level
lem:strict-level-axiom-input-certificates	Special input certificates for signed axiom roots use strictly earlier blocks at the source degree scale
lem:occurrence-copy-leaf-simulation	Independent formula occurrences retain bounded-degree copy agreement and strict axiom-leaf input certificates
lem:occurrence-mp-interface-freshness	Separate antecedent and consequent occurrences make their proper signed roots fresh for all retained MP axioms and targets
thm:occurrence-mp-interface-transfer	Subtree-local PC replay removes up to two proper MP interfaces per node at degree K0+2pHL
cor:occurrence-php-interface-transfer	Ordinary PHP has a polylogarithmic-degree PC simulation after private-boundary, proper-MP-interface, and clause pruning
lem:inherited-consequent-live-forest	Consequent representatives inherited from leaf trees retain intact descendants and fresh removable interfaces
lem:positive-boundary-input-zero-replay	Available conclusion input assumptions allow zero removal of a positive boundary at the same PC degree
thm:inherited-consequent-pc-transfer	Leaf-only occurrence families support signed PC replay with no consequent-copy cost and refined mode-dependent charges
lem:mod-booleanity-after-polynomial-substitution	MOD-first output Booleanity has a domain-only NS proof through twice its substituted value degree
thm:formula-copy-pc-ceiling	Final-line reuse gives formula-copy PC degree at most 2L without an arity or depth accumulation
prop:mod-copy-original-support	A constant-depth MOD comparison of bounded PC degree can require every one of 2m original frontier families
lem:signed-mod-scalar-conversions	MOD zero and nonzero values convert to scalar derivations or input refutations with explicit finite-domain PC costs
thm:signed-scalar-mod-mp	Signed scalar MOD interfaces compose through inherited MP, using a pre-power weight at positive conclusions
cor:scalar-mod-original-support	Both a zero scalar derivation and a nonzero scalar refutation can require arbitrarily many original frontier families at degree three
thm:survivor-affine-quotient	Intact surviving occurrence trees admit literal canonical companion images under degree-preserving variable identification
thm:shared-survivor-private-cut-simulation	Sharing only eventual survivors preserves private-root freshness and makes every MP comparison literal
lem:canonical-mod-signed-multiplicities	Signed syntactic multiplicities cancel modulo p in coherent pre-power sums without argument Booleanity
lem:mixed-mode-sharp-booleanity	Unit, packed, base-zero, and retained modes preserve sharp specialized source Booleanity certificates
thm:mixed-booleanity-degree-transfer	Audited mixed constant modes transfer outer NS or PC proofs at the same degree and resolve small-block role conflicts
cor:mixed-ordinary-php-modes	Row, collision, and appropriate final-PHP assignments fit mixed-mode pruning with explicit assumption discharge
lem:wide-or-product-optimal-coefficients	Pairing child factors maps a flattened parent to their product at optimal coefficient degree min(deltaA,deltaB)+2
thm:composed-wide-product-cost	Same-level exact-product normalization has terminal-degree cost, linear rather than exponentially loose in binary height
thm:weighted-core-factor-optimum	Disjoint monomial inputs reduce optimal exact coefficient degree to anchored weighted factor partition
thm:Boolean-degree-adapted-input-quotient	Same-span survivor tuples share a degree-ordered basis of actual Boolean generators without increasing proof degree
thm:Boolean-ideal-generator-cover	Certified Boolean generators and NS input witnesses remove a block under C_i+W<=e_i, beyond raw arity or rank
thm:ideal-retained-core-cover	NS ideal witnesses absorb residual inputs into a retained core under C_i+s_F<=e_i without extra factors
lem:sharper-ns-formula-copy	Actual product degrees give NS copy ceiling 2(ell'+1)L while PC retains ceiling 2L
lem:directional-distribution-unit	The distribution error identity also gives the matched input-system unit certificate
lem:distribution-refined-degree	The distribution error has NS degree at most s_U+s_V, fitting an outer accuracy of two
thm:coordinate-weighted-prefix-normalization	A coordinate-weighted prefix invariant gives B<=L for the stated source normalizers at h>=2
thm:source-highest-or-level-unused	The specified source theorem simulation can omit its highest structural OR level using strict leaf support
lem:earlier-zero-constant-mode	A constant-assignment product with an earlier retained-system NS certificate through its degree preserves sharp Booleanity and proof degree
thm:mod-schema-accuracy-two	One earlier-zero forward gate and five packed gates remove every coherent MOD-recursion schema at h>=2
lem:mod-two-axiom-certificate	The new complete MOD-axiom image has a two-variable NS certificate through 4p-2, and through five for p=2
cor:MOD-to-OR-goal-frontier	A positive nonzero-residue or negative zero-residue MOD scalar interface removes a fresh OR frontier under its combined input assumptions at the same degree
ex:matched-MOD-frontier-replay	Full signed MP joins and direct frontier replay expose disappearing weighted terms and nonzero companion images justified by goal inputs
lem:expanded-MOD-cut-schedule	Marking matched antecedent argument roots as private preserves survivor closure and removal-time freshness
thm:hybrid-MOD-frontier-integration	Matched MOD-to-OR cuts integrate at max(D_A,2L), preserving K0+2pHL and the PHP endpoint
