p_cut_F3_h1_field_pivot: 60 primitive lines, degree 6 <= 6.
p_cut_F3_h1_Boolean_sum: 89 primitive lines, degree 6 <= 6.
weakening_F3_h1: 25 primitive lines, degree 4 <= 4.
tautology_F3_h1: 3 primitive lines, degree 3 <= 3.
Boolean_domain_F3_h1_exclude2: 12 primitive lines, degree 4 <= 4.
compact_pair_ell2_F3_h1: 50 primitive lines, degree 6 <= 6.
composed_partition_refutation_F3_h1: 65 primitive lines, degree 4 <= 6.
p_cut_F3_h2_field_pivot: 308 primitive lines, degree 10 <= 10.
weakening_F3_h2: 115 primitive lines, degree 8 <= 8.
tautology_F3_h2: 3 primitive lines, degree 5 <= 5.
Boolean_domain_F3_h2_exclude2: 29 primitive lines, degree 6 <= 6.
compact_pair_ell2_F3_h2: 132 primitive lines, degree 8 <= 8.
composed_partition_refutation_F3_h2: 131 primitive lines, degree 6 <= 10.
p_cut_F5_h1_field_pivot: 134 primitive lines, degree 8 <= 8.
p_cut_F5_h1_Boolean_sum: 1465 primitive lines, degree 8 <= 8.
weakening_F5_h1: 25 primitive lines, degree 4 <= 4.
tautology_F5_h1: 3 primitive lines, degree 3 <= 3.
Boolean_domain_F5_h1_exclude2: 12 primitive lines, degree 4 <= 4.
Boolean_domain_F5_h1_exclude3: 12 primitive lines, degree 4 <= 4.
Boolean_domain_F5_h1_exclude4: 12 primitive lines, degree 4 <= 4.
compact_pair_ell2_F5_h1: 210 primitive lines, degree 10 <= 10.
composed_partition_refutation_F5_h1: 177 primitive lines, degree 6 <= 8.
p_cut_F5_h2_field_pivot: 538 primitive lines, degree 12 <= 12.
weakening_F5_h2: 115 primitive lines, degree 8 <= 8.
tautology_F5_h2: 3 primitive lines, degree 5 <= 5.
Boolean_domain_F5_h2_exclude2: 29 primitive lines, degree 6 <= 6.
Boolean_domain_F5_h2_exclude3: 29 primitive lines, degree 6 <= 6.
Boolean_domain_F5_h2_exclude4: 29 primitive lines, degree 6 <= 6.
compact_pair_ell2_F5_h2: 292 primitive lines, degree 12 <= 12.
composed_partition_refutation_F5_h2: 295 primitive lines, degree 8 <= 12.
semantic_affine_cover_F3: 112 primitive lines, degree 6 <= 6.
